TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.41.02.325, IED_AF4, 4, 13.897457, 1.065237, 0.649503, 0.276877, 7.342127 
08.41.03.327, IED_AF3, 4, 8.473733, 3.425027, 0.810757, 0.509243, 3.131967 
08.41.03.330, IED_F7, 4, 9.461756, 1.067772, 0.352900, 0.268708, 4.152996 
08.41.03.333, IED_F3, 4, 1.734869, 0.514011, 0.117397, 0.083818, 0.313494 
08.41.03.335, IED_FC5, 4, 11.944319, 0.871415, 0.446084, 0.227593, 5.134921 
08.41.03.337, IED_T7, 4, 4.161667, 1.171892, 0.400543, 0.122789, 3.131311 
08.41.03.339, IED_P7, 4, 2.089085, 0.489297, 0.298357, 0.117487, 0.751029 
08.41.03.343, IED_Pz, 4, 4.099626, 0.819684, 0.238917, 0.125167, 0.995896 
08.41.03.344, IED_O1, 4, 4.099626, 0.819684, 0.238917, 0.125167, 0.995896 
08.41.03.346, IED_O2, 4, 7.481979, 2.607726, 0.286297, 0.158098, 6.744719 
08.41.03.348, IED_P8, 4, 6.151317, 2.336179, 0.299423, 0.190498, 6.482270 
08.41.03.349, IED_T8, 4, 4.899363, 1.148701, 0.349917, 0.273136, 3.756088 
08.41.03.351, IED_FC6, 4, 9.239722, 0.667614, 0.400687, 0.249297, 4.395981 
08.41.03.352, IED_F4, 4, 7.581772, 0.651498, 0.375210, 0.154785, 2.984195 
08.41.03.355, IED_F8, 4, 11.061735, 0.729679, 0.334012, 0.213861, 5.655701 
08.41.03.356, IED_AF4, 4, 11.055771, 0.862679, 0.448313, 0.195596, 2.882303 
08.41.04.359, IED_AF3, 4, 2.856975, 0.969560, 0.981981, 0.659500, 4.651398 
08.41.04.361, IED_F7, 4, 2.687338, 0.352931, 0.162978, 0.226382, 1.133800 
08.41.04.362, IED_F3, 4, 1.123213, 0.270719, 0.076314, 0.081524, 0.403153 
08.41.04.363, IED_FC5, 4, 3.486700, 0.592110, 0.251478, 0.267947, 1.452146 
08.41.04.365, IED_T7, 4, 0.886720, 0.146753, 0.134774, 0.082216, 0.704431 
08.41.04.367, IED_P7, 4, 0.747007, 0.217883, 0.128398, 0.139865, 0.208943 
08.41.04.369, IED_Pz, 4, 2.502056, 0.195817, 0.188036, 0.248810, 0.269339 
